well_id,measured_depth_m,gamma_ray_api,resistivity_ohm_m,sonic_dt_us_ft,density_g_cc,neutron_porosity,caliper_in,photoelectric_factor,shale_volume,clay_content,water_saturation,hydrocarbon_saturation,permeability_md,velocity_m_s,acoustic_impedance,formation_factor,bulk_modulus_GPa,shear_modulus_GPa,poisson_ratio
WELL-1000,1.84,87.48,130.62,104.94,ERROR,0.307,14.37,2.37,0.447,0.404,0.777,0.788,558.48,2302.75,21050307.16,2.62,,17.07,0.309
WELL-1000,7.31,80.89,96.4,,2.223,0.064,14.96,4.46,0.171,0.254,0.709,NULL,396.63,2531.87,22327307.55,1.31,16.97,11.97,0.321
WELL-1000,12.42,51.38,69.85,64.04,2.25,0.231,6046.390659696926,1.16,0.212,0.116,0.877,ERROR,818.19,2393.51,14679250.34,4.33,24.8,14.5,0.172
WELL-1000,21.65,149.68,2.03,63085.959576804395,NULL,0.15,15.65,2.57,0.393,0.339,0.763,255.55474807200522,611.87,3723.25,5842618847.68366,1179.1872241592575,43.44,8.98,N/A
WELL-1000,26.33,95.39,127.87,113.36,2.421,0.344,,4.22,0.39,0.105,0.507,NULL,ERROR,4054.32,13029906.04,2.92,41.45,19.81,0.382
WELL-1000,31.13,128.46,182.37,115.26,2.398,0.182,12.64,2.49,0.405,0.488,0.837,0.541,299.6,2025166.5813436413,17608992.31,4.93,44.93,8.73,0.37
WELL-1000,33.39,146.38,4.08,90.71,,0.273,8.52,2.43,XYZ,0.403,0.893,0.671,NULL,4881.08,11408640.99,2.65,15.65,13.72,0.133
WELL-1000,39.96,54.71,162.57,57.55,2.523,0.185,8.51,3.64,0.233,0.413,XYZ,0.206,974.09,4222.65,16531179.49,4.96,,15.95,0.184
WELL-1000,30125.163183881632,106.99,118.39,,2.273,0.097,12.18,1.39,162.25879316013078,0.324,0.75,0.559,,4748.13,17520715.68,4.73,39.7,17740.480977971663,0.29
WELL-1000,NULL,131.29,61111.82778497735,41560.8221373642,2.075,0.284,,2.41,0.652,44.600841546837145,0.354,0.465,806.29,3611.16,16702894.67,2.23,NULL,24.25,0.204
WELL-1000,,140.5,143603.3839537815,84.75,2.027,0.165,11.11,,0.119,0.149,0.646,0.793,767714.1504734241,4856.36,20265999.9,2.43,14.39,21.99,0.347
WELL-1000,64.29,106.66,60.55,105.95,1.941,0.257,13.25,1.7,0.441,0.396,0.858,0.501,28.63,4874.86,20925073.42,1.41,NULL,1815.1597253375332,0.311
WELL-1000,70.3,107.66,1.3,76.68,2.635,0.207,14.68,4.7,0.412,0.255,307.1174220356353,0.499,274.3,2554.3,23715011.04,2.11,38.2,5.8,0.145
WELL-1000,70.57,147.78,95.82,87.54,2.08,,11.93,2.52,0.557,0.242,0.767,0.289,415.55,2465.06,11178634.97,4.57,ERROR,10.81,0.313
WELL-1000,76.53,122.93,,27669.624898019447,2.236,0.296,9.37,2.74,0.786,ERROR,0.409,0.54,XYZ,3494.53,16045379.95,1.31,38.15,11.86,0.265
