well_id,date,oil_rate_bopd,gas_rate_mscfd,water_cut_frac,tubing_pressure_psi,casing_pressure_psi,choke_size_64ths,gorp_factor,oil_gravity_api,produced_water_salinity_ppm,downhole_temperature_C,downhole_pressure_psi,CO2_fraction,H2S_fraction,sand_production_rate_lbs_day,ESP_current_amp,ESP_voltage_volts,pump_efficiency_frac,downtime_hours
WELL-1000,2021-01-01,522.9,9569.8,0.46,2768.23,1497.49,10.0,1.355,33.0,28185.4,110.03,,0.028,ERROR,7899.626018514646,28.33,494.15,0.52,21.45
WELL-1000,2021-01-02,2711.0,7739.1,0.33,4803.9,,48.7,1.589,26.3,22915778.885127082,,4416.84,0.014,0.01,84.11,21.4,516.78,0.683,4.09
WELL-1000,2021-01-03,1033.6,1307.0,0.49,4339.09,2808.11,42.5,,37.9,18487.4,60.64,1310328.3705541648,ERROR,0.003,87.82,18.81,268.39,0.755,3.78
WELL-1000,2021-01-04,1027.0,,0.35,4208.02,2527.92,,1.124,20.4,48150.1,68.86,3611.45,0.033,0.0,81.14,87.7,,0.625,20.37
WELL-1000,2021-01-05,2950.8,6584.5,0.19,4772.22,2517.65,14.0,1.521,28.4,30838.2,56.47,3017.75,0.002,2.4002628769594203,92.86,62.19,,0.735,4.84
WELL-1000,2021-01-06,2633.5,1062.2,0.4,3207.3,2391.97,53.3,1.189,26.2,XYZ,78.51,3561.53,0.036,0.004,61.84,38.36,540.24,0.502,16.42
WELL-1000,2021-01-07,979.1,XYZ,0.36,2596.65,1159.08,47.1,1.392,36.9,39490.5,81.75,2597.65,0.034,0.006,1116.0020672577957,24.46,469.15,0.855,1.34
WELL-1000,2021-01-08,2094.5,7485.0,,2820.82,2801.69,19.3,1.43,30.0,36249.9,86.43,4714653.498144254,0.011,0.0,34.38,67.45,203.51,0.829,8.08
WELL-1000,2021-01-09,1948.4,,0.26,3127.51,2479.61,62.0,1.702,31.5,22140.4,70.06,5098.84,0.022,0.001,39.41,29.34,173.62,106.60674733126828,1.86
WELL-1000,2021-01-10,1003.1,,NULL,2079.04,2830.5,52.9,408.8609770559572,32.1,38947.6,114.0,4967.43,0.02,0.003,6.94,60.96,132.58,0.641,18.66
WELL-1000,2021-01-11,2975.5,8160.3,0.32,2486.58,1550.55,8.3,,30.0,36617.9,103.6,4012.09,0.004,0.007,5.16,24.16,328.01,0.97,19.6
WELL-1000,2021-01-12,1488.6,9353.9,0.15,3417.82,1391.77,50.8,0.592,32.8,11559.3,72.83,4013.94,0.043,0.003,76.83,73.89,554.1,392.8200262362707,1.32
WELL-1000,2021-01-13,1496.4,2937.5,0.32,2672.12,2479.61,45.8,0.791,37.2,44542.7,56.02,3923.5,0.004,0.006,57.96,56.33,209.74,0.805,16.06
WELL-1000,,1329.3,1959.9,0.4,3478.11,341890.0411863654,63.2,1.025,NULL,30358.2,106.88,5294.0,,0.002,ERROR,12.18,531.52,0.842,22.11
WELL-1000,2021-01-15,2272.0,N/A,0.2,4587.02,1877.56,XYZ,1.208,27.9,49845.5,84.78,281304.2923723788,0.007,0.0,28.69,35.52,374.56,0.612,15.28
WELL-1000,2021-01-16,2887.9,1782.8,0.24,3171.55,1225.22,38.1,,21.1,NULL,,2925.73,0.011,,74.33,11342.874104429631,120505.51170953596,NULL,20.32
WELL-1000,2021-01-17,2240.3,2865.6,0.49,1395.78,2499.27,40.9,1.066,,26405.9,86.58,2427.89,0.02,0.01,16404.976825319856,36.83,132.29,0.635,4.3
WELL-1000,2021-01-18,2932.8,5043.4,0.43,1911.82,N/A,54.1,ERROR,32.0,NULL,58.06,XYZ,0.012,0.001,19.36,50.18,164.75,0.995,
WELL-1000,2021-01-19,1056.4,6212.4,0.38,3566.13,2615.72,55.6,0.523,35.4,25095.2,56.28,3702.8,0.038,0.004,73.71,90.18,120.15,NULL,13.14
WELL-1000,,1656.3,8097.4,0.47,2472.71,,15.8,1.542,23.0,42525.1,12438.183564003586,5455.45,NULL,0.009,27.48,78.68,525.4,0.748,17.6
WELL-1000,2021-01-21,1234.6,8137.7,0.21,3113.3,XYZ,37.0,1.0,32.9,22587.9,64.87,5361.09,0.003,0.008,81.34,,181.56,,20.29
WELL-1000,2021-01-22,2451.4,3559.4,0.24,1043.34,823.51,33.5,0.644,36.3,40938.3,111.55,2407.51,0.029,0.006,26.41,48.24,104.26,0.743,16.5
WELL-1000,2021-01-23,448930.02440373343,4635.0,17.42201059757527,3643.1,739.74,49.4,0.898,37.9,13370.3,98.11,5056.3,0.03,0.006,XYZ,40.79,286.37,N/A,6282.892275696059
WELL-1000,,1488.9,1826.2,0.49,3439.01,1648.77,,1.726,39.8,11224.5,81.31,4572.13,0.02,0.002,17.04,35300.68271851498,335.54,0.718,16.0
WELL-1000,2021-01-25,1550.3,9788.5,0.1,4563.14,1524.54,41.7,0.639,XYZ,35879.5,117.63,2435.75,0.015,0.3674099037867746,,41.91,122.96,0.746,3766.6502015847245
WELL-1000,,1955.7,ERROR,0.41,1369.73,1084.9,30.7,0.525,37.0,14492.4,108.04,308070.85382766294,0.011,0.008,27.45,54.35,115.84,0.689,2.17
WELL-1000,2021-01-27,1456.7,5160.8,19.934219925832576,2329.12,2564.4,8.2,1.942,20.3,39079.0,62.17,4174.48,,0.01,99.1,ERROR,384.84,0.577,19.23
WELL-1000,2021-01-28,2823.0,7868.5,0.22,4298.26,1386.34,34.4,0.534,33.7,37454.3,90.81,5654.96,0.006,XYZ,6.07,87.04,576.68,0.91,
WELL-1000,,1988.8,4793.3,0.39,3415.65,2675.83,16.4,1.68,21.7,ERROR,74.6,,XYZ,,81.12,17.08,141.38,0.502,22.58
WELL-1000,2021-01-30,2250.5,XYZ,0.42,2693.24,1830.84,28.6,1.539,21.2,15288.2,88.84,4491.32,0.047,0.004,31.23,46.72,359.02,0.706,12.43
WELL-1000,2021-01-31,1548.0,7665.3,0.44,2056.7,1971.83,26.9,1.74,35.1,39358.9,51.47,4143.13,0.02,0.0,21.33,32.66,124.12,0.773,15.84
WELL-1000,2021-02-01,1194.9,2816.0,0.34,4114.52,2631.84,XYZ,626.0890771676646,31.6,13754.7,114.73,5344.34,0.005,0.009,68.56,46.41,347.6,ERROR,5.11
WELL-1000,2021-02-02,1822.3,6267.1,0.17,3582.01,1924.19,40.8,1.974,32.8,,63.78,2868.0,0.027,0.01,37.39,93.18,596.47,0.859,22.84
WELL-1000,2021-02-03,1817.6,8857.8,0.25,1693137.1935791275,783139.6990712577,51.0,1.368,25.1,19068.7,92.83,3711.55,0.043,0.009,25.6,47.34,210.37,0.831,13.81
WELL-1000,2021-02-04,2259.0,7437.2,0.37,2017.44,1674.69,55.4,1.116,31.4,45328.9,51.12,4201.51,0.012,0.01,28.89,74.97,132.7,0.578,20.05
WELL-1000,2021-02-05,838.4,3384.1,0.21,2113.01,539.12,29.4,0.736,28.6,,115.84,2147.83,0.015,0.006,97.26,34.03,246.81,XYZ,10.02
WELL-1000,2021-02-06,792.2,5606.5,0.45,NULL,1091.67,,1.141,27.8,19816.5,52.42,2132.53,0.035,0.005,42156.209665162976,XYZ,532.86,0.649,0.62
WELL-1000,2021-02-07,2694.1,N/A,131.99888654623942,1323.16,,52.4,0.975,22.9,38961.5,94.49,2868.01,0.013,0.004,13.68,65.24,559.13,XYZ,15.83
WELL-1000,2021-02-08,1954.7,3475991.008505833,0.47,3477.43,2408.69,34.0,1.199,ERROR,XYZ,103.26,ERROR,0.037,0.008,42.24,7.22,438.6,0.646,10.29
WELL-1000,2021-02-09,1075.3,9143.5,0.12,2171.45,2638.82,8.3,0.966,33.6,41520.2,67.17,4735.3,0.007,0.009,28.2,46.1,137.3,0.843,21.12
