seismic_line_id,shot_point,twt_ms,amplitude,frequency_hz,reflection_coefficient,acoustic_impedance,velocity_m_s,quality_factor,offset_m,azimuth_deg,inclination_deg,wavelet_type,gain_db,noise_level_db,processing_version,survey_name,inline_number,crossline_number,pol_frequency_hz
LINE-1,1,,796.69,28.95,0.6056,18315397.8,2029.73,30.83,3109.47,147.01,9.25,Ricker,-3.14,11.1,v2,Survey_A,1451,2738,30.65
LINE-1,,2817.16,-327.14,23.4,-0.4015,18506874.56,,18.22,3817.95,141.16,25.27,Ricker,-7.7,-15.62,v2,Survey_B,1604,2596,NULL
LINE-1,XYZ,3754.1,75.7,40.28,,5460161.31,3863.16,78.37,5693.2,309.51,24.41,Klauder,8.68,13.61,v3,Survey_B,,2888,48.25
LINE-1,4,1451.57,22.57,28.84,-85.99204975448491,16587748.89,4483.93,74.88,3817.59,202.17,N/A,Klauder,-3008.2002015644734,-6.21,,Survey_A,1211,2120,36968.435151065176
LINE-1,5,4852.74,663.39,54307.87144113486,0.0512,12936419.7,3701.43,,4131.71,10.08,1.15,Klauder,3.57,7.65,v2,Survey_C,1676,2748,32.83
LINE-1,6,1133.25,XYZ,57.5,0.4363,16677022.58,1017014.4040384773,XYZ,5022.81,NULL,24.39,,-5.09,6.43,v1,Survey_B,1824,2637,29.22
LINE-1,7,3690.85,120.89,37.16,0.5577,12692543.22,3046.22,17.66,6502.28,93.2,XYZ,Ricker,-4.63,11.59,v3,Survey_C,1871,1115356.1689972805,13.03
LINE-1,1981.4183861053282,4280.37,-611.25,36.68,-0.8151,5087192.39,3194.0,81.7,5324.85,295.78,1913.3127553270995,Klauder,NULL,-19.65,,Survey_C,1015,2019,12.58
LINE-1,9,4998.24,192.0,45.7,0.7616,9224301.08,4427.64,70.92,4566.74,35.69,4.29,Ormsby,-7.24,8.94,v3,Survey_B,1998,2702,38.85
LINE-1,10,2709.89,825.98,45.59,-0.6266,4448446606.838856,1909.05,60.06,7908.3,,2.08,Klauder,8.17,7.43,v2,Survey_A,1482,2367,42.84
LINE-1,11,4086.24,-133.09,35.36,NULL,21011520.76,3600.79,82.22,,106.76,14.63,Ormsby,-9.98,10.64,,Survey_A,1023,2682,34.27
LINE-1,12,2635.41,507.16,,0.0634,6711230065.8420925,3961.48,36.23,6715.77,350.49,25.1,Klauder,7.39,9.69,v2,Survey_B,1259,2413,12.87
LINE-1,13,1368.83,293.38,46.94,-0.5245,11994480.55,1614.0,74.87,8026.66,169.52,26.88,Klauder,-9.53,9.35,v3,Survey_C,1536,2093,10.46
LINE-1,14,2937.21,683.74,20.67,0.6371,13599743.95,4523.72,65.26,2958.98,180.3,5.47,Ricker,N/A,5.44,v3,Survey_B,1551,XYZ,48.29
LINE-1,15,4452.36,-589.62,53.27,0.0286,19580962.78,4544.36,58.44,2973.86,278.29,29.69,Klauder,1.21,15.16,v3,Survey_A,1171,2572,38.12
LINE-1,16,3189.44,-186292.3991709144,25.8,-0.5868,9278243.1,3111.15,93.72,3140.13,315.56,1.9,Klauder,6.98,4.54,v2,Survey_C,1067,2559,47.85
LINE-1,17,4621.64,12.57,22.59,-0.7377,12883105.63,4377.37,94.91,4481.02,113.35,,Klauder,3.94,NULL,v1,,1607,2288,NULL
LINE-1,18,3128.47,-900.6,47.8,-0.5657,21028829.38,,81.93,8514.33,359.97,6.78,Ormsby,,4.71,v2,Survey_C,1955,2067,49.94
LINE-1,19,3465.85,313.95,30.78,-0.629,6931635.57,2414.77,12.89,347125.4158180426,167.24,11.6,Klauder,-0.1,,v3,Survey_C,1709,2604,37.81
LINE-1,20,4368.81,120.61,32.23,-360.7723885694376,19555564.63,3722.5,69.42,9828.83,XYZ,29.87,Ricker,4.83,NULL,v2,Survey_C,1288,2664,42.17
LINE-1,21,3065601.4841186767,358.78,32.95,-0.3301,NULL,4701.57,71.28,6188.71,277.02,1573.5798875378991,Ricker,-7.02,-13.19,v1,Survey_C,1492,2416,35.07
LINE-1,21225.785940671012,2014.81,10.06,48.38,0.2518,20294585.24,3875.94,59.46,7053.59,237.5,18.47,Ricker,7.58,13.63,v1,Survey_C,1206,2149,21.71
LINE-1,23,1778.42,-325.23,49.56,0.8956,9851870.12,,5701.611903230169,7419.49,180.29,4.43,Klauder,3.33,-0.18,v3,Survey_B,1352,2467,10.22
,24,3368.58,338.13,26.46,NULL,16913013.6,3757.74,29.75,7266.78,99.76,2787.4004994670922,Klauder,3.07,-0.43,v3,Survey_B,1222,2269,42.12
LINE-1,25,N/A,N/A,18.9,0.6671,22330312.83,2427.3,28.69,3804.3,105.6,7.89,Ormsby,-7.57,-16.59,v1,Survey_C,1585,2062,37.68
LINE-1,26,2214.11,-242.93,55.24,0.0678,ERROR,2165.67,78.12,4572.26,259.62,9.38,Ricker,-2.01,-16.48,v1,Survey_C,1186,2626,12.59
LINE-1,27,1253.71,-340.75,54.62,,N/A,,31.24,7939.91,287.32,21.83,Ormsby,-3.84,XYZ,v2,Survey_B,1194,2498,21.36
LINE-1,28,3124.57,-358.5,46.87,0.9499,8576656321.599338,2335.14,13.03,,90.04,24.06,Ormsby,-8.64,4.75,v3,Survey_C,1299,2206,11.47
LINE-1,29,,-408.39,17.03,-0.9372,11607840.09,3275.61,47.76,5184.27,99.2,23.38,Ormsby,-1.67,11.22,v3,Survey_B,1797,2356,42.2
LINE-1,30,1107.76,662.15,22.93,-0.6531,17912492.91,3183.34,78.08,7868.21,994.5567932865464,6.91,Ormsby,-7.69,-5.91,v2,Survey_B,1771,2394,19.9
LINE-1,31,3628.81,328.64,38.12,0.4044,8220446.26,,,,305.58,11.76,Klauder,-9.08,13.29,v1,Survey_B,1263,2544,47.27
LINE-1,13247.463282070308,1508.09,704.72,58.32,0.2225,19652974.3,3084.25,79.0,1576786.7581039816,308.83,16.52,Ormsby,0.41,9.74,v2,Survey_A,1309,2044,32.2
LINE-1,21100.962174923425,2470723.50544942,378.2,34.57,0.7836,24625474.66,2141.14,65.39,3455.7,358.56,8.84,Ricker,-9.06,11.17,v3,Survey_C,1454,2523,10.77
LINE-1,34,1830.52,-943.62,10.71,0.2148,16412120.74,2274.7,25.98,2078.55,194.87,15.4,Ormsby,6.98,-10.51,v1,Survey_B,,2774,26.74
