well_id,formation_name,porosity_frac,permeability_md,lithology,grain_density_g_cc,clay_volume_frac,quartz_volume_frac,calcite_volume_frac,dolomite_volume_frac,formation_thickness_m,net_pay_m,capillary_pressure_psi,fluid_contact_depth_m,reservoir_temperature_C,reservoir_pressure_psi,oil_saturation_frac,gas_saturation_frac,water_saturation_frac,fracture_density
WELL-1000,Shale_B,0.237,683.99,Shale,2.054,0.268,0.656,0.572,0.12,97.54,21.93,1480.18,1832.13,74.75,2155.01,0.23,0.254,0.541,7.88
WELL-1000,Dolomite_D,0.187,988.89,Dolomite,2.293,11.14093867100994,XYZ,0.091,0.019,71.01,35.96,,1775.7,90.14,5539.86,0.673,0.432,0.797,3.56
WELL-1000,Sandstone_A,0.174,957.86,Sandstone,2.659,0.234,0.561,0.581,,16.17,46.62,1229.52,2076.99,85.77,2815.13,0.312,0.489,0.296,ERROR
WELL-1000,Shale_B,0.237,798.31,Shale,2.681,0.237,0.755,0.153,0.027,36.11,30.06,XYZ,675752.4292335442,96.72,2408.92,,0.101,0.583,2.88
WELL-1000,Limestone_C,0.104,131.15,Limestone,N/A,437.0279968126528,0.204,0.427,0.365,77.28,11.74,564.15,ERROR,126.12,,0.575,0.106,0.49,0.29
WELL-1000,Dolomite_D,NULL,106.06,Dolomite,2.051,0.155,0.283,0.36,0.26,30.31,34.93,430.87,1958.07,102.34,5520.29,0.654,0.017,0.569,5.69
WELL-1000,Dolomite_D,NULL,20.66,Dolomite,2.39,0.374,0.665,0.513,0.007,63.9,49.96,1491.98,1542.34,97.68,5750.18,0.461,0.407,0.966,5.06
WELL-1000,Limestone_C,NULL,195.08,Limestone,2.631,0.204,0.487,0.352,0.036,77.44,15.78,1687.68,1882.53,122.62,2190.53,0.618,0.102,0.859,5.42
WELL-1000,Sandstone_A,,532.35,Sandstone,2.428,0.237,0.656,0.104,0.362,71.59,33.11,2369.43,2510.91,XYZ,4133.58,0.602,0.371,0.419,9.51
WELL-1000,Shale_B,0.084,933.45,Shale,2.01,0.243,0.424,0.172,0.312,95.63,28.92,490.27,1892.99,113.18,1291530.2315507734,0.336,0.498,0.838,4.85
WELL-1000,Limestone_C,0.12,470.93,Limestone,2.187,0.179,0.696,0.336,0.024,37.49,14.14,2716.81,2861.27,60.49,4814.93,0.643,XYZ,0.55,8575.26323000658
WELL-1000,Dolomite_D,0.124,367.33,Dolomite,NULL,0.47,0.756,0.156,0.301,91.77,37.88,1057.5,2360.37,78.1,5527.24,0.407,0.117,0.511,8.45
WELL-1000,Shale_B,0.242,801.52,Shale,2.158,0.374,N/A,0.485,25.993845050838416,77.75,41.63,2436.62,2315.14,70.0,2175.61,0.602,0.005,0.279,1.4
WELL-1000,,0.095,356.49,Dolomite,2.134,0.132,0.276,0.199,0.152,56.08,11.97,609.45,2359.26,60.9,2744.79,0.424,0.276,28.950613048921507,6.25
WELL-1000,Dolomite_D,0.212,723.43,Dolomite,N/A,0.122,0.448,0.493,0.239,52.2,26.75,746.74,3482.96,XYZ,2674.7,0.49,0.493,0.849,7.2
WELL-1000,Shale_B,0.11,941.28,Shale,2.454,XYZ,0.385,0.308,0.6506693700082344,75.74,17.28,ERROR,3289.58,67.55,3044.6,0.368,0.466,0.978,5.37
WELL-1000,Dolomite_D,NULL,383.92,Dolomite,2.04,0.314,0.366,0.284,0.072,86.46,22.73,2246.74,ERROR,123.1,4867.4,0.459,0.495,0.683,9.77
WELL-1000,Dolomite_D,0.194,759.47,Dolomite,2.167,335.1597339614644,0.514,0.423,0.096,62.36,18.55,599.33,1540.77,,3652.0,0.23,0.055,0.584,9.87
WELL-1000,Shale_B,0.159,467.18,Shale,2.346,184.668045560887,0.569,N/A,0.011,29.76,9.51,,3007.41,141.8,4560.2,0.782,0.325,0.676,5.92
WELL-1000,Shale_B,,77.05,Shale,,0.171,0.639,0.004,0.138,49.51,,472.81,2964.65,66.33,2410.81,0.661,0.452,0.42,8.41
