well_id,date,measured_depth_m,mud_weight_ppg,rop_m_per_hr,borehole_diameter_in,fluid_loss_rate_ml_per_min,pump_pressure_psi,bit_type,operator_name,rig_id,drilling_fluid_type,wellhead_pressure_psi,formation_pressure_psi,wob_kN,rpm,torque_ft_lbs,standpipe_pressure_psi,direction_azimuth_deg,inclination_deg
WELL-1000,2010-01-01,,11.37,10.13,9.31,44.28,3522.1,PDC,Schlumberger,RIG-5,WBM,2590.9,5012.61,10.3,199.5,3687.8,3798.93,41.42,20.22
WELL-1000,2010-01-02,33,XYZ,N/A,8.56,1.55,4870.19,Diamond Impregnated,Nabors,RIG-3,OBM,2979.54,5181.23,184.01,99.8,9283.42,4307.64,NULL,52.25
WELL-1000,2010-01-03,43,10.13,NULL,10.45,29.05,683.77,Roller Cone,Schlumberger,RIG-4,SOBM,1808.64,3184.02,100.84,140.9,1413.77,4373.11,264.25,11.22
WELL-1000,2010-01-04,50,7884.585722888622,26.85,10.7,26.57,4261.89,PDC,Schlumberger,RIG-4,WBM,2930.03,5370.3,185.38,83.89,7669.42,2373.72,218.05,10.66
WELL-1000,2010-01-05,70,8.84,2317.1108414830087,9.74,4.21,784.3,,Nabors,RIG-5,OBM,1407.32,5841.49,,99.56,9855.12,1472.29,285.3,77.99
WELL-1000,2010-01-06,83,9.47,23.89,,38.89,625.31,PDC,,,OBM,2977.51,3587.79,174.39,187.2,1710.34,4974.39,275.75,77.01
WELL-1000,2010-01-07,90,9.25,7299.230925502328,10.89,37.52,639.93,PDC,Halliburton,RIG-1,OBM,1591.21,3670.78,138.02,,XYZ,1236.12,154.54,73.83
WELL-1000,2010-01-08,106,NULL,6.73,10.31,9.02,1480.08,PDC,Nabors,RIG-5,SOBM,2944.92,3972.42,14.38,173.01,434.93,3849944.8348268587,288.93,79.74
WELL-1000,2010-01-09,120,11.7,12.92,N/A,23.04,1240.16,PDC,Weatherford,RIG-2,,1847.3,4471.14,66.8,144.03,7509.32,1148.96,334.6,89.12
WELL-1000,2010-01-10,127,9.46,6.2,8.67,13.89,NULL,Diamond Impregnated,Halliburton,RIG-1,WBM,2712.34,3458.2,41.3,56.31,4543.95,N/A,,83.99
WELL-1000,2010-01-11,135,11.12,11.14,NULL,18.16,3605.38,Roller Cone,Nabors,RIG-3,WBM,1108.13,,148.37,113.5,5584.81,946.78,94.23,82.91
WELL-1000,2010-01-12,143,8.72,17.53,11.4,1.64,4111.07,Roller Cone,Schlumberger,RIG-5,WBM,2377.38,4457.33,NULL,123.8,8143.39,656.19,181.26,4.62
WELL-1000,2010-01-13,163,9.73,ERROR,10.17,29.32,4996.82,PDC,Nabors,RIG-3,SOBM,2122.64,2555.47,91.27,57.53,4610.24,1551.19,322.09,3.44
WELL-1000,2010-01-14,168053.02172900792,10.41,29.96,10.96,3.7,4221.25,Diamond Impregnated,Weatherford,RIG-3,OBM,2344.22,3070.87,172.33,114.89,7359.52,4829.92,59.42,1.37
WELL-1000,2010-01-15,197,10.62,28.63,9.22,1.1,4629.75,PDC,Baker Hughes,RIG-2,WBM,2192.32,3096.14,176.35,197.58,3452.95,2833.64,272.41,48.22
WELL-1000,2010-01-16,209,11.19,5787.794579755869,11.98,16.21,N/A,Roller Cone,Baker Hughes,RIG-4,SOBM,1039.82,3729.13,170.02,121.92,6163.95,1543.96,227745.5620910124,80.16
WELL-1000,2010-01-17,214,,10.19,11.03,5.7,2778563.4851861214,PDC,Schlumberger,RIG-4,WBM,ERROR,2947.99,118.42,153.29,6738.24,2327.44,260.52,48.63
WELL-1000,2010-01-18,233,11.32,NULL,9.43,2400.065494337393,2732.87,Roller Cone,Baker Hughes,RIG-2,WBM,N/A,2168.25,176.03,104.69,422406.7542498043,752.19,276.38,15.22
WELL-1000,2010-01-19,,9.74,8.02,11.36,,4195.18,Roller Cone,Schlumberger,RIG-4,WBM,N/A,2313.79,74.23,20016.689915215033,4195.7,4032.62,283.08,46.72
WELL-1000,2010-01-20,253,10.73,8.17,11.41,2.2,3736.66,Diamond Impregnated,Schlumberger,RIG-3,WBM,2939.34,2735.33,20.71,86.88,8186.91,3311.19,88.41,11.42
WELL-1000,2010-01-21,263,9.56,17.05,11.76,37.86,2000.23,PDC,Schlumberger,RIG-4,OBM,,3238.13,89.31,196.23,2747.63,4860.85,11704.331038162303,78.19
WELL-1000,2010-01-22,270,10.45,,10.37,27.28,712889.9861810345,Diamond Impregnated,Baker Hughes,RIG-2,OBM,1664.15,3963.82,150.92,155.78,7976.02,ERROR,,76.85
WELL-1000,2010-01-23,278,9.64,28.23,11.63,XYZ,3691.85,Diamond Impregnated,Schlumberger,RIG-2,OBM,1789.73,4364.16,160.03,140.33,4768.97,2339.16,354.5,6.73
WELL-1000,2010-01-24,291,11.19,28.16,10.27,31.44,4640.32,Diamond Impregnated,Nabors,RIG-4,WBM,1596.41,3187.68,47.11,63.22,9924.69,1708.5,197.14,23.22
WELL-1000,2010-01-25,299,8.91,17.96,4787.013160050952,10.54,3841.5,Diamond Impregnated,Baker Hughes,RIG-1,SOBM,1733.03,,NULL,158.06,3158.05,3049.94,271.48,
WELL-1000,2010-01-26,305,9.2,6.77,10.57,41.93,2884.67,Diamond Impregnated,Schlumberger,RIG-1,WBM,2682.09,2430897.146363543,58.02,150.43,ERROR,4270.44,,36.23
WELL-1000,2010-01-27,323,11.09,,11.62,4289.586384670962,NULL,Diamond Impregnated,Weatherford,RIG-5,OBM,2253.4,3936.15,167.8,113.33,414.35,4805.71,233.27,142.37372485571612
WELL-1000,2010-01-28,343,11.77,13.08,10.46,1.11,4653.16,Roller Cone,,RIG-4,WBM,,5920.15,61.9,109.37,4757.21,2053448.0018936368,48.32,36.12
WELL-1000,2010-01-29,351,8.99,,11.26,42.56,3318.44,Roller Cone,Baker Hughes,RIG-3,SOBM,1235.16,2989.9,N/A,66.27,,251731.73376628463,308.53,58.98
WELL-1000,2010-01-30,365,XYZ,6.27,10.12,39.79,783.89,Roller Cone,Schlumberger,RIG-5,WBM,1778.87,3077.05,148.79,176.24,3325.45,1896.89,116.43,84.09
WELL-1000,2010-01-31,379,11.34,29.25,9.52,16.14,3460.75,Diamond Impregnated,,RIG-1,WBM,1439.06,2114.49,29.01,157.69,149.08,2210.27,96.84,47.81
WELL-1000,2010-02-01,393,8.81,16.51,9.47,41.24,4515.57,Diamond Impregnated,Weatherford,RIG-2,OBM,1124.41,4982.62,126.07,XYZ,6692.49,686.55,243.15,8.69
WELL-1000,2010-02-02,402,11.2,20.28,10.73,1116.115179432324,4488.37,PDC,Baker Hughes,RIG-1,OBM,1437.85,4868.36,147.77,158.02,8120.46,626.6,49.11,89.41
WELL-1000,2010-02-03,413,,28.69,11.08,48.8,3167.41,Diamond Impregnated,Baker Hughes,RIG-4,OBM,1029.08,5923.8,ERROR,56.05,7716.29,953.52,194.39,88.42
WELL-1000,2010-02-04,419,11.35,16.02,9.44,13811.91175986751,,PDC,Halliburton,RIG-2,OBM,1798.63,5858.61,110.99,165.87,8669.8,3537.77,127.65,
WELL-1000,2010-02-05,425,11.42,5.56,9.95,8.12,2848.29,PDC,Nabors,RIG-5,OBM,2764.42,3128.34,182.63,95.48,4648.39,3284.64,41.12,78.78
WELL-1000,2010-02-06,435,9.26,10.5,11.66,0.98,2091.88,Diamond Impregnated,Halliburton,RIG-1,SOBM,514181.6494503156,,38.4,185.57,7496.31,3860.52,8.36,24.8
WELL-1000,2010-02-07,449,9.16,5.17,NULL,7.55,3279.73,Diamond Impregnated,Halliburton,RIG-5,SOBM,1351.94,5841.21,195.31,182.48,8377.36,3013.71,347.45,35.58
WELL-1000,2010-02-08,458,11.53,15.05,8.92,10.31,1622.2,Diamond Impregnated,Baker Hughes,RIG-1,SOBM,1653.0,1765976.737277678,N/A,143.75,359.63,,109.59,57.79
WELL-1000,2010-02-09,468,8.88,24.45,10.5,,1789.75,Diamond Impregnated,Nabors,RIG-2,,1834.38,2983.18,,181.82,365988.5693392374,1078726.4700264356,303.04,20.08
WELL-1000,2010-02-10,482,10.28,9.31,9.61,19.14,762.62,Roller Cone,Schlumberger,RIG-1,OBM,1188.78,2881.72,58.32,143.98,5881.74,2504.74,254.59,81.14
WELL-1000,2010-02-11,,11.37,19.08,8.66,3.13,4730.56,PDC,Schlumberger,RIG-2,OBM,2578.58,5271.21,179.51,97.6,7801.69,1043.67,249.98,18.25
WELL-1000,2010-02-12,499,8.78,18.94,11.73,33.08,4436.62,Roller Cone,Nabors,RIG-4,SOBM,2340.94,4243.57,159.66,63.69,N/A,2811.72,342.4,78.69
WELL-1000,2010-02-13,NULL,11.96,24.09,9.73,20443.043525045883,1757.56,Roller Cone,,RIG-5,WBM,1809.26,2627.12,127.34,50.95,8013.07,938454.5468321029,20.1,44.93
WELL-1000,2010-02-14,528,9.62,14.37,9.41,14.85,1294.84,Diamond Impregnated,,RIG-4,SOBM,1520.03,4234.24,72.08,XYZ,6417.04,N/A,174.21,32.59
WELL-1000,2010-02-15,533,NULL,12.44,ERROR,XYZ,917.48,Roller Cone,Weatherford,RIG-4,WBM,1910.08,4371.85,42.49,179.0,7412.07,4244.82,185.98,44.73
WELL-1000,2010-02-16,NULL,8.74,15.5,10.87,33.76,3453.16,Roller Cone,Baker Hughes,RIG-3,WBM,2005.24,3300.82,175.94,85.87,8174.11,854.15,NULL,36247.16677870401
WELL-1000,2010-02-17,548,11.12,8.48,9.6,0.2,761.24,Diamond Impregnated,Weatherford,RIG-3,SOBM,1725.54,5929.78,138.3,136.83,7753.38,1319.22,111.67,50.78
WELL-1000,2010-02-18,556,11.27,16.78,10.64,20.78,2485.72,Diamond Impregnated,Halliburton,RIG-1,WBM,2526.25,5649.94,70.5,78.21,9296.72,702.28,51.68,35.05
WELL-1000,2010-02-19,570,9.4,29.21,11.44,35.51,3095.31,Roller Cone,Schlumberger,RIG-3,SOBM,2358.24,5684.06,,67.05,9966.23,990.14,353.69,70.94
WELL-1000,2010-02-20,580,11.4,13.45,ERROR,17302.69913845425,1488.91,PDC,,RIG-3,WBM,1196.27,5395.53,31.7,95.24,6649.9,4508.3,84283.89343548354,46.05
WELL-1000,2010-02-21,78717.16620824582,10.19,28.11,9.03,,2819.3,Diamond Impregnated,Halliburton,RIG-5,OBM,,5274.78,N/A,123.57,7026.01,3932.6,60.52,85.85
WELL-1000,2010-02-22,610,11.32,16.75,11.57,38.58,644.28,Roller Cone,Weatherford,RIG-1,WBM,1841.67,2457.05,24.87,160.74,XYZ,3710.59,235.99,4.63
WELL-1000,2010-02-23,616,10.7,18.65,8.55,34.81,3565.42,PDC,Weatherford,RIG-1,WBM,2483.47,5183.55,130.51,ERROR,5722.61,4732.26,266.45,27064.318554994203
WELL-1000,2010-02-24,634,11.25,,9.74,38.9,1661579.4174556364,PDC,Schlumberger,RIG-4,OBM,1309.91,5705.71,51.85,55.72,6931.97,1181.66,293.49,39.83
WELL-1000,2010-02-25,648,11.54,28.67,10.12,4.34,4582.62,PDC,Nabors,RIG-5,WBM,1079.71,3328.84,39.51,121.66,3454.42,4212.6,218.47,21.89
WELL-1000,2010-02-26,663,9261.73737535367,N/A,9.06,,,Diamond Impregnated,Halliburton,RIG-1,WBM,2566.72,5974.56,185.57,95.77,9508.7,1379.28,61.06,43.48
WELL-1000,2010-02-27,,11.85,8.47,10.68,6.54,4966.9,,Baker Hughes,RIG-2,OBM,2573.22,4446.48,N/A,135.75,3475.55,4819.38,249.06,
WELL-1000,2010-02-28,ERROR,10.02,18.67,11.05,35.54,4491.24,Diamond Impregnated,Weatherford,RIG-5,WBM,1825.34,4909.2,68.59,132.66,7792.95,873.58,169.64,47192.87766025054
WELL-1000,2010-03-01,705,10.11,29.59,9.48,8.65,2688.71,Roller Cone,Nabors,RIG-4,WBM,2837.98,2361.13,125.93,186.77,,2410.6,223.96,46.29
WELL-1000,2010-03-02,718,8.7,15.04,8.77,,2221.4,PDC,Weatherford,RIG-3,OBM,2523.17,2690.85,41.2,122.29,,,123.28,
WELL-1000,2010-03-03,731,9.4,,9.39,49.73,1485.37,Roller Cone,Baker Hughes,RIG-2,SOBM,1382.91,2249.76,87.12,141.44,4063.25,2219.2,,15.4
WELL-1000,2010-03-04,750,10.77,17.21,11.91,5.52,1701.94,PDC,Weatherford,RIG-4,SOBM,1716.22,2042.95,36.26,183.75,7960.23,4806.72,71.28,54.55
WELL-1000,2010-03-05,758,8.93,21.72,10.57,1.92,1361.29,Diamond Impregnated,Schlumberger,,WBM,1899.91,4521.46,102.0,131.07,4408.64,4412.81,336.57,21.89
WELL-1000,2010-03-06,769,11.71,23.92,8.93,46.16,1595.61,Diamond Impregnated,Halliburton,RIG-4,WBM,2514.56,3987.31,187.04,119.56,5186.99,718.35,148.69,30.09
WELL-1000,2010-03-07,774,8.98,6.42,10.13,4.66,1118.83,PDC,Schlumberger,RIG-1,WBM,2395.47,2720.68,20.46,161.7,6461.25,3380.99,155.55,79.09
WELL-1000,2010-03-08,793,8.91,18.58,10.14,1.81,3292.57,Roller Cone,Schlumberger,RIG-4,SOBM,1926.88,3832.58,42.94,53.95,3411264.103232618,1584.83,256.7,NULL
WELL-1000,2010-03-09,808,11.84,8.95,10.88,23.36,791055.7782930534,Roller Cone,Schlumberger,RIG-2,OBM,2572.42,4043.31,109.03,138.35,4908.05,2483.19,105.02,15.48
WELL-1000,2010-03-10,826,8.61,17.16,8.65,XYZ,2381.89,PDC,Baker Hughes,RIG-2,SOBM,,3874.67,16.84,118.48,6688.62,1659.58,295.45,70.84
WELL-1000,2010-03-11,843,11.15,15.19,11.68,34.42,XYZ,Diamond Impregnated,Baker Hughes,RIG-2,SOBM,2794.8,5787.61,113.86,166.23,5796.18,2169.84,242.92,XYZ
WELL-1000,2010-03-12,853,11.34,24.17,,XYZ,2879.87,PDC,Halliburton,RIG-1,OBM,2986.12,5103.51,24.69,123.59,4276.85,828.98,266.7,60.33
